,Date,Close,t,P.SS_EW,P.SS_EF,P.S_EW,P.S_EF,P.M_EW,P.M_EF,P.L_EW,P.L_EF,N.SS_EW,N.SS_EF,N.S_EW,N.S_EF,N.M_EW,N.M_EF,N.L_EW,N.L_EF
21,2003-02-07,829.690002,2003.10136986301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2003-02-10,835.969971,2003.1095890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2003-02-11,829.200012,2003.11232876712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2003-02-12,818.679993,2003.11506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2003-02-13,817.369995,2003.11780821918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2003-02-14,834.890015,2003.12054794521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2003-02-18,851.169983,2003.13150684931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2003-02-19,845.130005,2003.13424657534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2003-02-20,837.099976,2003.13698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2003-02-21,848.169983,2003.1397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2003-02-24,832.580017,2003.14794520548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2003-02-25,838.570007,2003.15068493151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2003-02-26,827.549988,2003.15342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2003-02-27,837.280029,2003.15616438356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2003-02-28,841.150024,2003.15890410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2003-03-03,834.809998,2003.16712328767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2003-03-04,821.98999,2003.1698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2003-03-05,829.849976,2003.17260273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2003-03-06,822.099976,2003.17534246575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2003-03-07,828.890015,2003.17808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2003-03-10,807.47998,2003.18630136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2003-03-11,800.72998,2003.18904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2003-03-12,804.190002,2003.19178082192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2003-03-13,831.900024,2003.19452054795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2003-03-14,833.27002,2003.19726027397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2003-03-17,862.789978,2003.20547945205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2003-03-18,866.450012,2003.20821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2003-03-19,874.02002,2003.21095890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2003-03-20,875.669983,2003.21369863014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2003-03-21,895.789978,2003.21643835616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2003-03-24,864.22998,2003.22465753425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2003-03-25,874.73999,2003.22739726027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2003-03-26,869.950012,2003.2301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2003-03-27,868.52002,2003.23287671233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2003-03-28,863.5,2003.23561643836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2003-03-31,848.179993,2003.24383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2003-04-01,858.47998,2003.24657534247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2003-04-02,880.900024,2003.24931506849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2003-04-03,876.450012,2003.25205479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2003-04-04,878.849976,2003.25479452055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2003-04-07,879.929993,2003.26301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2003-04-08,878.289978,2003.26575342466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2003-04-09,865.98999,2003.26849315068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2003-04-10,871.580017,2003.27123287671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2003-04-11,868.299988,2003.27397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2003-04-14,885.22998,2003.28219178082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2003-04-15,890.809998,2003.28493150685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2003-04-16,879.909973,2003.28767123288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2003-04-17,893.580017,2003.2904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2003-04-21,892.01001,2003.30136986301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2003-04-22,911.369995,2003.30410958904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2003-04-23,919.02002,2003.30684931507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2003-04-24,911.429993,2003.3095890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2003-04-25,898.809998,2003.31232876712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2003-04-28,914.840027,2003.32054794521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2003-04-29,917.840027,2003.32328767123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2003-04-30,916.919983,2003.32602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2003-05-01,916.299988,2003.32876712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2003-05-02,930.080017,2003.33150684932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2003-05-05,926.549988,2003.3397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2003-05-06,934.390015,2003.34246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2003-05-07,929.619995,2003.34520547945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2003-05-08,920.27002,2003.34794520548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2003-05-09,933.409973,2003.35068493151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2003-05-12,945.109985,2003.35890410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2003-05-13,942.299988,2003.36164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2003-05-14,939.280029,2003.36438356164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2003-05-15,946.669983,2003.36712328767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2003-05-16,944.299988,2003.3698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2003-05-19,920.77002,2003.37808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2003-05-20,919.72998,2003.38082191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2003-05-21,923.419983,2003.38356164384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2003-05-22,931.869995,2003.38630136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2003-05-23,933.219971,2003.38904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2003-05-27,951.47998,2003.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2003-05-28,953.219971,2003.40273972603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2003-05-29,949.640015,2003.40547945205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2003-05-30,963.590027,2003.40821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2003-06-02,967,2003.41643835616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2003-06-03,971.559998,2003.41917808219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2003-06-04,986.23999,2003.42191780822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2003-06-05,990.140015,2003.42465753425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2003-06-06,987.76001,2003.42739726027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2003-06-09,975.929993,2003.43561643836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2003-06-10,984.840027,2003.43835616438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2003-06-11,997.47998,2003.44109589041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2003-06-12,998.51001,2003.44383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2003-06-13,988.609985,2003.44657534247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2003-06-16,1010.73999,2003.45479452055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2003-06-17,1011.659973,2003.45753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2003-06-18,1010.090027,2003.4602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2003-06-19,994.700012,2003.46301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2003-06-20,995.690002,2003.46575342466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2003-06-23,981.640015,2003.47397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2003-06-24,983.450012,2003.47671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2003-06-25,975.320007,2003.47945205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2003-06-26,985.820007,2003.48219178082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2003-06-27,976.219971,2003.48493150685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2003-06-30,974.5,2003.49315068493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2003-07-01,982.320007,2003.49589041096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2003-07-02,993.75,2003.49863013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2003-07-03,985.700012,2003.50136986301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2003-07-07,1004.419983,2003.51232876712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2003-07-08,1007.840027,2003.51506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2003-07-09,1002.210022,2003.51780821918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2003-07-10,988.700012,2003.52054794521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2003-07-11,998.140015,2003.52328767123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2003-07-14,1003.859985,2003.53150684932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2003-07-15,1000.419983,2003.53424657534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2003-07-16,994.090027,2003.53698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2003-07-17,981.72998,2003.5397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2003-07-18,993.320007,2003.54246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2003-07-21,978.799988,2003.55068493151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2003-07-22,988.109985,2003.55342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2003-07-23,988.609985,2003.55616438356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2003-07-24,981.599976,2003.55890410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2003-07-25,998.679993,2003.56164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2003-07-28,996.52002,2003.5698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2003-07-29,989.280029,2003.57260273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2003-07-30,987.48999,2003.57534246575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2003-07-31,990.309998,2003.57808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2003-08-01,980.150024,2003.58082191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2003-08-04,982.820007,2003.58904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2003-08-05,965.460022,2003.59178082192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2003-08-06,967.080017,2003.59452054795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2003-08-07,974.119995,2003.59726027397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2003-08-08,977.590027,2003.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2003-08-11,980.590027,2003.60821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2003-08-12,990.349976,2003.61095890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2003-08-13,984.030029,2003.61369863014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2003-08-14,990.51001,2003.61643835616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2003-08-15,990.669983,2003.61917808219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2003-08-18,999.73999,2003.62739726027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2003-08-19,1002.349976,2003.6301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2003-08-20,1000.299988,2003.63287671233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2003-08-21,1003.27002,2003.63561643836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2003-08-22,993.059998,2003.63835616438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2003-08-25,993.710022,2003.64657534247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2003-08-26,996.72998,2003.64931506849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2003-08-27,996.789978,2003.65205479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2003-08-28,1002.840027,2003.65479452055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2003-08-29,1008.01001,2003.65753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2003-09-02,1021.98999,2003.66849315068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2003-09-03,1026.27002,2003.67123287671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2003-09-04,1027.969971,2003.67397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2003-09-05,1021.390015,2003.67671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2003-09-08,1031.640015,2003.68493150685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2003-09-09,1023.169983,2003.68767123288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2003-09-10,1010.919983,2003.6904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2003-09-11,1016.419983,2003.69315068493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2003-09-12,1018.630005,2003.69589041096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2003-09-15,1014.809998,2003.70410958904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2003-09-16,1029.319946,2003.70684931507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2003-09-17,1025.969971,2003.7095890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2003-09-18,1039.579956,2003.71232876712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2003-09-19,1036.300049,2003.71506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2003-09-22,1022.820007,2003.72328767123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2003-09-23,1029.030029,2003.72602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2003-09-24,1009.380005,2003.72876712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2003-09-25,1003.27002,2003.73150684932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2003-09-26,996.849976,2003.73424657534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2003-09-29,1006.580017,2003.74246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2003-09-30,995.969971,2003.74520547945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2003-10-01,1018.219971,2003.74794520548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2003-10-02,1020.23999,2003.75068493151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2003-10-03,1029.849976,2003.75342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2003-10-06,1034.349976,2003.76164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2003-10-07,1039.25,2003.76438356164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2003-10-08,1033.780029,2003.76712328767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2003-10-09,1038.72998,2003.7698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2003-10-10,1038.060059,2003.77260273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2003-10-13,1045.349976,2003.78082191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2003-10-14,1049.47998,2003.78356164384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2003-10-15,1046.76001,2003.78630136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2003-10-16,1050.069946,2003.78904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2003-10-17,1039.319946,2003.79178082192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2003-10-20,1044.680054,2003.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2003-10-21,1046.030029,2003.80273972603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2003-10-22,1030.359985,2003.80547945205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2003-10-23,1033.77002,2003.80821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2003-10-24,1028.910034,2003.81095890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2003-10-27,1031.130005,2003.81917808219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2003-10-28,1046.790039,2003.82191780822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2003-10-29,1048.109985,2003.82465753425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2003-10-30,1046.939941,2003.82739726027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2003-10-31,1050.709961,2003.8301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2003-11-03,1059.02002,2003.83835616438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2003-11-04,1053.25,2003.84109589041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2003-11-05,1051.810059,2003.84383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2003-11-06,1058.050049,2003.84657534247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2003-11-07,1053.209961,2003.84931506849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2003-11-10,1047.109985,2003.85753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2003-11-11,1046.569946,2003.8602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2003-11-12,1058.530029,2003.86301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2003-11-13,1058.410034,2003.86575342466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2003-11-14,1050.349976,2003.86849315069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2003-11-17,1043.630005,2003.87671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2003-11-18,1034.150024,2003.87945205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2003-11-19,1042.439941,2003.88219178082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2003-11-20,1033.650024,2003.88493150685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2003-11-21,1035.280029,2003.88767123288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2003-11-24,1052.079956,2003.89589041096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2003-11-25,1053.890015,2003.89863013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2003-11-26,1058.449951,2003.90136986301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2003-11-28,1058.199951,2003.90684931507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2003-12-01,1070.119995,2003.91506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2003-12-02,1066.619995,2003.91780821918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2003-12-03,1064.72998,2003.92054794521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2003-12-04,1069.719971,2003.92328767123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2003-12-05,1061.5,2003.92602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2003-12-08,1069.300049,2003.93424657534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2003-12-09,1060.180054,2003.93698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2003-12-10,1059.050049,2003.9397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2003-12-11,1071.209961,2003.94246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2003-12-12,1074.140015,2003.94520547945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2003-12-15,1068.040039,2003.95342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2003-12-16,1075.130005,2003.95616438356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2003-12-17,1076.47998,2003.95890410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2003-12-18,1089.180054,2003.96164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2003-12-19,1088.660034,2003.96438356164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2003-12-22,1092.939941,2003.97260273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2003-12-23,1096.02002,2003.97534246575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2003-12-24,1094.040039,2003.97808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2003-12-26,1095.890015,2003.98356164384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2003-12-29,1109.47998,2003.99178082192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2003-12-30,1109.640015,2003.99452054795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2003-12-31,1111.920044,2003.99726027397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2004-01-02,1108.47998,2004.00273224044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2004-01-05,1122.219971,2004.01092896175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2004-01-06,1123.670044,2004.01366120219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2004-01-07,1126.329956,2004.01639344262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2004-01-08,1131.920044,2004.01912568306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2004-01-09,1121.859985,2004.0218579235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
